date,property_type,asking_price,transaction_price,Rents - Industrial and commercial space ,Rents - Office space ,Rents - Rental housing units ,Rents - Retail space ,Acquisition of Swiss citizenship,Natural Change,Net migration,Switzerland - CHF - Call money rate (Tomorrow next) - 1 day,Origination - Relevant foreign currency positions,Origination - Securities portfolio,Origination - Money market transactions,Origination - Other,Origination - Monetary base,Utilisation - Banknotes in circulation,Utilisation - Sight deposit accounts of domestic banks,Utilisation - Monetary base,Seasonally adjusted - Monetary base,Level - Currency in circulation,Level - Deposits in transaction accounts,Level - Monetary aggregate M3,Banks in Switzerland - Total domestic and foreign - Total loans - Utilisation,Banks in Switzerland - Total domestic and foreign - Mortgage loans - Utilisation,"Value, in CHF millions - Gross domestic product",population,SFSO - Inflation according to the national consumer price index
1995-01-01,Single-family houses,109.99214710805201,101.15597700428795,116.27119164373075,103.7570537045917,122.9187730030811,115.81345629397133,16795.0,18816.0,14458.0,2.75521,54312.5,3064.5,1712.75,28943.16667,30146.58333,27572.58333,2574.0,30146.58333,30128.83333,26021.16667,54141.0,416682.66667,614465.47164,392614.38715,417529.12955,7040687.0,1.8
1996-01-01,Apartment buildings,,81.26648082573647,101.72086481412414,101.64099504734885,112.67227188568813,109.88456656347894,19375.0,20370.0,-5807.0,1.6875,52218.0,3028.75,1730.08333,25819.91667,31156.91667,28221.16667,2935.75,31156.91667,31185.33333,26703.58333,60286.66667,445483.83333,626203.4869,408669.7682,420537.7386,7071850.0,0.80833
1996-01-01,Privately owned apartments,104.50111465597618,107.47249416339429,101.72086481412414,101.64099504734885,112.67227188568813,109.88456656347894,19375.0,20370.0,-5807.0,1.6875,52218.0,3028.75,1730.08333,25819.91667,31156.91667,28221.16667,2935.75,31156.91667,31185.33333,26703.58333,60286.66667,445483.83333,626203.4869,408669.7682,420537.7386,7071850.0,0.80833
1996-01-01,Single-family houses,103.69988192305144,98.15503410347351,101.72086481412414,101.64099504734885,112.67227188568813,109.88456656347894,19375.0,20370.0,-5807.0,1.6875,52218.0,3028.75,1730.08333,25819.91667,31156.91667,28221.16667,2935.75,31156.91667,31185.33333,26703.58333,60286.66667,445483.83333,626203.4869,408669.7682,420537.7386,7071850.0,0.80833
1997-01-01,Apartment buildings,,77.0568070519099,98.4086590387402,98.74199366732793,106.38426078698546,103.28566743234265,19169.0,17745.0,-6834.0,1.24479,62157.75,4876.58333,1552.08333,35869.83333,32716.58333,29003.5,3713.08333,32716.58333,32690.91667,27568.58333,64579.0,468179.0,640961.21181,421671.72272,427876.24593,7088906.0,0.51667
1997-01-01,Privately owned apartments,99.75544249788493,104.10153582209348,98.4086590387402,98.74199366732793,106.38426078698546,103.28566743234265,19169.0,17745.0,-6834.0,1.24479,62157.75,4876.58333,1552.08333,35869.83333,32716.58333,29003.5,3713.08333,32716.58333,32690.91667,27568.58333,64579.0,468179.0,640961.21181,421671.72272,427876.24593,7088906.0,0.51667
1997-01-01,Single-family houses,100.09309133984463,96.4392221810147,98.4086590387402,98.74199366732793,106.38426078698546,103.28566743234265,19169.0,17745.0,-6834.0,1.24479,62157.75,4876.58333,1552.08333,35869.83333,32716.58333,29003.5,3713.08333,32716.58333,32690.91667,27568.58333,64579.0,468179.0,640961.21181,421671.72272,427876.24593,7088906.0,0.51667
1998-01-01,Apartment buildings,,75.76847736005425,97.25347125605953,96.65350093877673,102.03955865711056,96.70942258865624,21279.0,16380.0,1177.0,1.21875,64298.25,4960.66667,7326.5,42957.66667,33627.75,29564.75,4063.0,33627.75,33665.33333,27961.91667,68751.75,473688.33333,649463.08333,433002.66667,439633.46241,7110001.0,0.01667
1998-01-01,Privately owned apartments,98.40839340524208,102.15156646294152,97.25347125605953,96.65350093877673,102.03955865711056,96.70942258865624,21279.0,16380.0,1177.0,1.21875,64298.25,4960.66667,7326.5,42957.66667,33627.75,29564.75,4063.0,33627.75,33665.33333,27961.91667,68751.75,473688.33333,649463.08333,433002.66667,439633.46241,7110001.0,0.01667
1998-01-01,Single-family houses,99.22895887987863,96.08532281874572,97.25347125605953,96.65350093877673,102.03955865711056,96.70942258865624,21279.0,16380.0,1177.0,1.21875,64298.25,4960.66667,7326.5,42957.66667,33627.75,29564.75,4063.0,33627.75,33665.33333,27961.91667,68751.75,473688.33333,649463.08333,433002.66667,439633.46241,7110001.0,0.01667
1999-01-01,Apartment buildings,,77.66330143901153,99.00509355975244,96.96563276267345,99.73256511414866,94.01391933851436,20363.0,15905.0,16149.0,0.94531,66065.33333,4918.5,16874.25,53358.41667,34499.66667,30810.16667,3689.5,34499.66667,34456.58333,28915.16667,73595.08333,479797.25,679329.83333,448365.0,447010.87261,7143991.0,0.80833
1999-01-01,Privately owned apartments,98.5334622454248,99.71342424208608,99.00509355975244,96.96563276267345,99.73256511414866,94.01391933851436,20363.0,15905.0,16149.0,0.94531,66065.33333,4918.5,16874.25,53358.41667,34499.66667,30810.16667,3689.5,34499.66667,34456.58333,28915.16667,73595.08333,479797.25,679329.83333,448365.0,447010.87261,7143991.0,0.80833
1999-01-01,Single-family houses,99.08164045177773,97.16649271281163,99.00509355975244,96.96563276267345,99.73256511414866,94.01391933851436,20363.0,15905.0,16149.0,0.94531,66065.33333,4918.5,16874.25,53358.41667,34499.66667,30810.16667,3689.5,34499.66667,34456.58333,28915.16667,73595.08333,479797.25,679329.83333,448365.0,447010.87261,7143991.0,0.80833
2000-01-01,Apartment buildings,,76.23568896032172,100.0,100.0,100.0,100.0,28700.0,15930.0,20224.0,2.79021,80716.0,4970.25,19312.83333,70202.41667,34796.66667,31550.25,3246.41667,34796.66667,34800.0,29599.08333,73901.0,472590.0,703835.25,451080.08333,471707.25335,7184250.0,1.55
2000-01-01,Privately owned apartments,100.0,100.0,100.0,100.0,100.0,100.0,28700.0,15930.0,20224.0,2.79021,80716.0,4970.25,19312.83333,70202.41667,34796.66667,31550.25,3246.41667,34796.66667,34800.0,29599.08333,73901.0,472590.0,703835.25,451080.08333,471707.25335,7184250.0,1.55
